"French_Muni","Swiss_Muni","local_admin_unit_id_from","local_admin_unit_id_to","flow_volume","nb.vehicles","distance","duration","share_in_ch","nb_vehicles_adj"
"Colmar - Rhin (Haut-) - fr-68066","Riehen - Bâle-Ville - ch-2703","fr-68066","ch-2703",2.26328742540932,1.40097491632837,69.039,55.6666666666667,0.0297069652605095,0.933983277552246
"Colmar - Rhin (Haut-) - fr-68066","Boncourt - Jura - ch-6774","fr-68066","ch-6774",1.18452999851074,0.733224069078149,97.378,73.6666666666667,0.0218376207984195,0.488816046052099
"Colmar - Rhin (Haut-) - fr-68066","Delémont - Jura - ch-6711","fr-68066","ch-6711",2.5088944711782,1.55300567765931,106.314,87.6166666666667,0.0911308963529258,1.03533711843954
"Colmar - Rhin (Haut-) - fr-68066","Porrentruy - Jura - ch-6800","fr-68066","ch-6800",2.26371807757503,1.40124149001894,112.457,81.7333333333333,0.106539378181285,0.934160993345963
"Courtavon - Rhin (Haut-) - fr-68067","Basel - Bâle-Ville - ch-2701","fr-68067","ch-2701",4.26659482794818,4.14713017276563,39.525,46.75,0.241364392761432,2.76475344851042
"Dannemarie - Rhin (Haut-) - fr-68068","Basel - Bâle-Ville - ch-2701","fr-68068","ch-2701",27.5411093107441,21.1240308413408,41.959,48.2833333333333,0.0850980879496127,14.0826872275605
"Dessenheim - Rhin (Haut-) - fr-68069","Basel - Bâle-Ville - ch-2701","fr-68069","ch-2701",2.50330213774338,2.21792569404064,54.416,45.1666666666667,0.0643245642741398,1.47861712936043
"Diefmatten - Rhin (Haut-) - fr-68071","Basel - Bâle-Ville - ch-2701","fr-68071","ch-2701",3.63139953052893,3.075795402358,55.558,43.1666666666667,0.0697350565418169,2.05053026823867
"Dietwiller - Rhin (Haut-) - fr-68072","Basel - Bâle-Ville - ch-2701","fr-68072","ch-2701",60.7967692566166,50.7653023292748,24.579,27.8166666666667,0.132574865405134,33.8435348861832
"Dietwiller - Rhin (Haut-) - fr-68072","Delémont - Jura - ch-6711","fr-68072","ch-6711",1.3303562675711,1.11084748342187,66.666,62.1,0.185787034233531,0.740564988947914
"Dolleren - Rhin (Haut-) - fr-68073","Basel - Bâle-Ville - ch-2701","fr-68073","ch-2701",2.04692948560296,1.96300537669324,70.819,62.0833333333333,0.0515895192559138,1.30867025112882
"Durlinsdorf - Rhin (Haut-) - fr-68074","Basel - Bâle-Ville - ch-2701","fr-68074","ch-2701",6.77142156682787,6.17553646894701,37.271,43.9833333333333,0.256930442728899,4.11702431263134
